awayTeam,homeTeam,venue_name,homeDateTime,high_temperature,low_temperature,precipitation (mm),percentile_score,score
NYK,CHA,Spectrum Center,2023-11-18,73.51,52.18,0.0,19.780666125101543,29.761125478016204
MIN,NOP,Smoothie King Center,2023-11-18,70.45,61.41,0.0,6.336311941510966,16.93929979935742
MIA,CHI,United Center,2023-11-18,53.04,33.82,0.0,58.976441917140534,50.749418330573
DAL,MIL,Fiserv Forum,2023-11-18,53.85,29.8,0.0,68.72461413484972,54.48072295496127
MEM,SAS,Frost Bank Center,2023-11-18,67.41,60.01,0.0,7.6360682372055235,18.52112637986038
OKC,GSW,Chase Center,2023-11-18,61.21,54.0,8.78,43.86677497969131,43.735337658126895
PHI,BKN,Barclays Center,2023-11-19,55.0,39.76,0.0,46.141348497156784,44.71191839700328
ORL,IND,Gainbridge Fieldhouse,2023-11-19,58.91,34.12,0.0,58.32656376929325,50.34716062991007
DEN,CLE,Rocket Mortgage FieldHouse,2023-11-19,50.22,35.73,0.0,55.15840779853777,48.69052030720852
DET,TOR,Scotiabank Arena,2023-11-19,41.2,31.21,0.0,64.74411047928513,53.08580242550286
SAC,DAL,American Airlines Center,2023-11-19,64.74,54.19,12.64,44.59788789601949,44.02655034757601
BOS,MEM,FedExForum,2023-11-19,64.4,37.51,0.0,50.568643379366364,46.73606802251238
PHX,UTA,Delta Center,2023-11-19,46.49,35.2,13.91,93.17627944760356,81.42103543451378
OKC,POR,Moda Center,2023-11-19,51.98,40.39,0.45,83.91551584077985,64.03324815660396
HOU,LAL,Crypto.com Arena,2023-11-19,71.33,58.15,0.0,10.073111291632818,21.236988802553686
BOS,CHA,Spectrum Center,2023-11-20,61.27,45.27,0.0,34.36230706742486,38.638363558086645
DEN,DET,Little Caesars Arena,2023-11-20,40.84,33.51,0.0,59.30138099106417,50.88739059986336
MIL,WAS,Capital One Arena,2023-11-20,49.33,37.65,0.0,50.36555645816409,46.600850841486775
MIA,CHI,United Center,2023-11-20,47.89,41.74,6.17,85.29650690495532,67.85815137629966
NYK,MIN,Target Center,2023-11-20,45.01,39.49,0.0,46.87246141348497,45.008882045283585
SAC,NOP,Smoothie King Center,2023-11-20,80.71,59.74,0.0,8.285946385052803,19.336050707323803
LAC,SAS,Frost Bank Center,2023-11-20,82.87,64.67,0.0,3.4118602761982126,13.53400254998307
HOU,GSW,Chase Center,2023-11-20,65.25,50.4,0.0,23.517465475223393,32.33554525710116
TOR,ORL,Kia Center,2023-11-21,82.54,64.92,0.0,3.330625507717303,13.219507869811615
IND,ATL,State Farm Arena,2023-11-21,64.96,55.45,19.47,39.480097481722176,41.292647641669674
CLE,PHI,Wells Fargo Center,2023-11-21,51.58,34.92,26.61,94.55727051177904,83.43447841855759
POR,PHX,Footprint Center,2023-11-21,76.98,60.1,0.0,7.473598700243704,18.369074497920003
UTA,LAL,Crypto.com Arena,2023-11-21,79.75,57.33,0.0,11.372867587327375,22.362701256786025
WAS,CHA,Spectrum Center,2023-11-22,62.64,42.19,1.39,83.18440292445166,63.05106876209766
DEN,ORL,Kia Center,2023-11-22,79.92,64.58,0.0,3.736799350121852,13.942298015757606
BKN,ATL,State Farm Arena,2023-11-22,56.28,44.33,0.0,36.758732737611695,39.85323016285509
MIL,BOS,TD Garden,2023-11-22,51.76,37.06,22.23,91.95775792038992,79.30101401077535
MIA,CLE,Rocket Mortgage FieldHouse,2023-11-22,45.01,38.34,2.47,86.59626320064987,70.7024160233483
TOR,IND,Gainbridge Fieldhouse,2023-11-22,46.67,36.66,0.0,52.883834281072296,47.7306459630956
MEM,HOU,Toyota Center,2023-11-22,57.96,44.38,0.0,36.352558895207146,39.65923079340779
PHI,MIN,Target Center,2023-11-22,45.5,25.11,0.0,75.10154346060114,56.77472049264251
SAC,NOP,Smoothie King Center,2023-11-22,60.82,52.34,0.0,19.57757920389927,29.59575048715831
CHI,OKC,Paycom Center,2023-11-22,59.61,31.82,0.0,63.078797725426476,52.52814066992057
LAC,SAS,Frost Bank Center,2023-11-22,67.26,40.19,0.0,45.4914703493095,44.44453220305762
GSW,PHX,Footprint Center,2023-11-22,75.45,55.65,0.0,13.566206336311941,24.459187143100163
UTA,POR,Moda Center,2023-11-22,51.03,43.11,1.36,82.37205523964256,61.4068568883427
DAL,LAL,Crypto.com Arena,2023-11-22,80.82,60.76,0.0,7.0268074735987,17.78730744527657
BOS,ORL,Kia Center,2023-11-24,62.65,55.42,1.51,31.925264012997562,37.03371125062919
PHX,MEM,FedExForum,2023-11-24,56.93,42.26,0.0,40.69861900893582,42.14485703039505
MIA,NYK,Madison Square Garden,2023-11-24,49.69,32.4,0.0,61.900893582453286,52.031915550978766
CHI,TOR,Scotiabank Arena,2023-11-24,32.88,26.94,0.0,73.07067424857838,55.91609575903794
